manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
m003,S_1_1,aaaaab,2.61803398875,"[1, -3, 1]",[2],[2],True,True
m004,S_1_1,aB,2.61803398875,"[1, -3, 1]",[2],[2],True,True
m009,S_1_1,aaB,3.73205080757,"[1, -4, 1]",[2],[2],True,True
m010,S_1_1,aaabb,3.73205080757,"[1, -4, 1]",[2],[2],True,True
m022,S_1_1,aaabAb,4.79128784748,"[1, -5, 1]",[2],[2],True,True
m023,S_1_1,aaaB,4.79128784748,"[1, -5, 1]",[2],[2],True,True
m039,S_1_1,aaaaB,5.82842712475,"[1, -6, 1]",[2],[2],True,True
m040,S_1_1,aaabAAb,5.82842712475,"[1, -6, 1]",[2],[2],True,True
m135,S_1_1,aaaabb,5.82842712475,"[1, -6, 1]",[2],[2],True,True
m136,S_1_1,aaBB,5.82842712475,"[1, -6, 1]",[2],[2],True,True
m206,S_1_1,aBaB,6.85410196625,"[1, -7, 1]",[2],[2],False,True
m207,S_1_1,aaabbb,6.85410196625,"[1, -7, 1]",[2],[2],False,True
m234,S_1_1,aaaaabb,7.87298334621,"[1, -8, 1]",[2],[2],True,True
m235,S_1_1,aaaBB,7.87298334621,"[1, -8, 1]",[2],[2],True,True
m369,S_1_1,aaaabbb,9.89897948557,"[1, -10, 1]",[2],[2],True,True
m370,S_1_1,aaBaB,9.89897948557,"[1, -10, 1]",[2],[2],True,True
s000,S_1_1,aaaaaB,6.85410196625,"[1, -7, 1]",[2],[2],True,True
s001,S_1_1,aaabAAAb,6.85410196625,"[1, -7, 1]",[2],[2],True,True
s298,S_1_1,aaaaBB,9.89897948557,"[1, -10, 1]",[2],[2],True,True
s299,S_1_1,aaaaaabb,9.89897948557,"[1, -10, 1]",[2],[2],True,True
s463,S_1_1,aaaaabAb,10.9083269132,"[1, -11, 1]",[2],[2],True,True
s464,S_1_1,aaaBBB,10.9083269132,"[1, -11, 1]",[2],[2],True,True
s639,S_1_1,aaaaabbb,12.9226162893,"[1, -13, 1]",[2],[2],True,True
s640,S_1_1,aaaBaB,12.9226162893,"[1, -13, 1]",[2],[2],True,True
s786,S_1_1,aaaabbbb,13.9282032303,"[1, -14, 1]",[2],[2],False,True
s787,S_1_1,aaBaaB,13.9282032303,"[1, -14, 1]",[2],[2],False,True
s891,S_1_1,aaaabAbb,14.9330343737,"[1, -15, 1]",[2],[2],True,True
s892,S_1_1,aaBaBB,14.9330343737,"[1, -15, 1]",[2],[2],True,True
s960,S_1_1,aaabbAbb,17.94427191,"[1, -18, 1]",[2],[2],False,True
s961,S_1_1,aBaBaB,17.94427191,"[1, -18, 1]",[2],[2],False,True
v0000,S_1_1,aaaaaaB,7.87298334621,"[1, -8, 1]",[2],[2],True,True
v0001,S_1_1,aaaaBAAAB,7.87298334621,"[1, -8, 1]",[2],[2],True,True
v0650,S_1_1,aaaaaBB,11.9160797831,"[1, -12, 1]",[2],[2],True,True
v0651,S_1_1,aaaaaaabb,11.9160797831,"[1, -12, 1]",[2],[2],True,True
v1276,S_1_1,aaaaBBB,13.9282032303,"[1, -14, 1]",[2],[2],True,True
v1277,S_1_1,aaaaaabAb,13.9282032303,"[1, -14, 1]",[2],[2],True,True
v1577,S_1_1,aaaaBaB,15.9372539332,"[1, -16, 1]",[2],[2],True,True
v1578,S_1_1,aaaaaabbb,15.9372539332,"[1, -16, 1]",[2],[2],True,True
v2230,S_1_1,aaaaabbbb,17.94427191,"[1, -18, 1]",[2],[2],True,True
v2231,S_1_1,aaaBaaB,17.94427191,"[1, -18, 1]",[2],[2],True,True
v2898,S_1_1,aaaaabAbb,19.9498743711,"[1, -20, 1]",[2],[2],True,True
v2899,S_1_1,aaaBaBB,19.9498743711,"[1, -20, 1]",[2],[2],True,True
v3246,S_1_1,aaBaaBB,21.9544511501,"[1, -22, 1]",[2],[2],True,True
v3247,S_1_1,aaaabAbAb,21.9544511501,"[1, -22, 1]",[2],[2],True,True
v3510,S_1_1,aaaabbAbb,25.9614813968,"[1, -26, 1]",[2],[2],True,True
v3511,S_1_1,aaBaBaB,25.9614813968,"[1, -26, 1]",[2],[2],True,True
m130,S_1_2,aaabcx,2.29663026289,"[1, -2, 0, -2, 1]","[1, 1, 3, 3]","[1, 1]",True,False
m140,S_1_2,bCX,2.61803398875,"[1, -3, 1]","[2, 2]","[2, 2]",True,True
m293,S_1_2,aaaabcx,3.2542636339,"[1, -3, 0, -3, 1]","[1, 1, 3, 3]","[1, 1]",True,False
m294,S_1_2,aabcX,2.61803398875,"[1, -3, 1]","[1, 1, 4]","[1, 1]",True,False
s254,S_1_2,aBcx,3.73205080757,"[1, -4, 1]","[2, 2]","[2, 2]",True,True
s442,S_1_2,aaaaabcx,4.21207718955,"[1, -4, 0, -4, 1]","[1, 1, 3, 3]","[1, 1]",True,False
s595,S_1_2,bbCX,3.73205080757,"[1, -4, 1]","[2, 2]","[2, 2]",True,True
s645,S_1_2,abcX,2.89005363826,"[1, -2, -2, -2, 1]","[1, 1, 3, 3]","[1, 1]",True,False
s775,S_1_2,abAbCX,3.73205080757,"[1, -4, 1]","[2, 2]","[2, 2]",True,True
s778,S_1_2,abbbcX,3.73205080757,"[1, -4, 1]","[2, 2]","[2, 2]",True,True
s781,S_1_2,aabccX,3.73205080757,"[1, -4, 1]","[1, 1, 4]","[1, 1]",True,False
v0825,S_1_2,aaBcx,4.79128784748,"[1, -5, 1]","[2, 2]","[2, 2]",True,True
v1059,S_1_2,aaaaaabcx,5.17920136167,"[1, -5, 0, -5, 1]","[1, 1, 3, 3]","[1, 1]",True,False
v2123,S_1_2,aBccx,4.79128784748,"[1, -5, 1]","[2, 2]","[2, 2]",True,True
v2354,S_1_2,aabcccX,4.79128784748,"[1, -5, 1]","[1, 1, 4]","[1, 1]",True,False
v2573,S_1_2,abAbcx,3.34697396454,"[1, -2, -4, -2, 1]","[1, 1, 3, 3]","[1, 1]",True,False
v2640,S_1_2,bcX,3.2542636339,"[1, -3, 0, -3, 1]","[1, 1, 3, 3]","[1, 1]",True,False
v3106,S_1_2,abccX,4.13015994972,"[1, -3, -4, -3, 1]","[1, 1, 3, 3]","[1, 1]",True,False
v3126,S_1_2,aaabCbX,4.79128784748,"[1, -5, 1]","[2, 2]","[2, 2]",True,True
v3213,S_1_2,bCCCX,4.79128784748,"[1, -5, 1]","[2, 2]","[2, 2]",True,True
m036,S_2_1,aaabcd,1.72208380574,"[1, -1, -1, -1, 1]",[6],[6],True,True
m038,S_2_1,abcdeF,1.72208380574,"[1, -1, -1, -1, 1]",[6],[6],True,True
m122,S_2_1,aabacdf,1.88320350591,"[1, -2, 1, -2, 1]","[4, 4]",[4],True,True
m159,S_2_1,aabACDEf,1.72208380574,"[1, -1, -1, -1, 1]","[3, 3, 4]",[4],True,False
m160,S_2_1,abCDEf,1.72208380574,"[1, -1, -1, -1, 1]","[3, 3, 4]",[4],True,False
m184,S_2_1,abaCDCEf,1.72208380574,"[1, -1, -1, -1, 1]","[3, 3, 4]",[3],True,False
m199,S_2_1,abcdF,1.96355303899,"[1, -2, -1, 3, -1, -2, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
m201,S_2_1,abaCDf,1.72208380574,"[1, -1, -1, -1, 1]","[1, 3, 4, 4]",[1],True,False
m222,S_2_1,abCDf,1.68491015272,"[1, -1, -1, 0, 0, 0, -1, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
m224,S_2_1,abacdF,1.91649826367,"[1, -1, -1, -1, 0, -1, -1, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
m280,S_2_1,aabacdcf,2.15372137554,"[1, -3, 3, -3, 1]","[4, 4]",[4],True,True
m289,S_2_1,abcD,2.15372137554,"[1, -3, 3, -3, 1]","[2, 4, 4]",[2],True,True
m304,S_2_1,aabcf,2.08101899662,"[1, -1, -2, -1, 1]",[6],[6],True,True
m305,S_2_1,aabcdeF,2.08101899662,"[1, -1, -2, -1, 1]",[6],[6],True,True
m336,S_2_1,aabCDCEf,1.83928675521,"[1, 1, 1, -1]","[3, 3, 3, 3]",[3],True,False
m368,S_2_1,aabAACDEf,2.08101899662,"[1, -1, -2, -1, 1]","[3, 3, 4]",[4],True,False
m371,S_2_1,abbCDEf,2.08101899662,"[1, -1, -2, -1, 1]","[3, 3, 4]",[4],True,False
m401,S_2_1,aaabaacdcf,2.01535718128,"[1, -1, 0, -4, 0, -1, 1]","[3, 3, 3, 3]",[3],True,False
s080,S_2_1,abcdce,1.72208380574,"[1, -1, -1, -1, 1]","[2, 6]",[2],True,True
s206,S_2_1,abcdcef,1.88320350591,"[1, -2, 1, -2, 1]","[2, 4, 4]",[2],True,True
s238,S_2_1,aabacdef,2.15372137554,"[1, -3, 3, -3, 1]","[2, 4, 4]",[2],True,True
s239,S_2_1,aabaCDf,1.88320350591,"[1, -2, 1, -2, 1]","[1, 7]",[1],True,False
s296,S_2_1,aBCDE,2.29663026289,"[1, -2, 0, -2, 1]",[6],[6],True,True
s297,S_2_1,aaabcbd,2.29663026289,"[1, -2, 0, -2, 1]",[6],[6],True,True
s479,S_2_1,aaaabcd,2.89005363826,"[1, -2, -2, -2, 1]",[6],[6],True,True
s519,S_2_1,aabcD,2.29663026289,"[1, -2, 0, -2, 1]","[2, 6]",[2],True,True
s521,S_2_1,aabCDf,1.9748187083,"[1, -2, 1, -2, 1, -2, 1]","[1, 3, 3, 5]",[1],True,False
s580,S_2_1,aabAcf,2.36920540709,"[1, -1, -3, -1, 1]",[6],[6],True,True
s581,S_2_1,aaabcdeF,2.36920540709,"[1, -1, -3, -1, 1]",[6],[6],True,True
s676,S_2_1,aaaBAAcdeF,2.36920540709,"[1, -1, -3, -1, 1]","[3, 3, 4]",[4],True,False
s677,S_2_1,abbbCDEf,2.36920540709,"[1, -1, -3, -1, 1]","[3, 3, 4]",[4],True,False
s703,S_2_1,abCDCf,1.96355303899,"[1, -2, -1, 3, -1, -2, 1]","[1, 3, 3, 3, 4]",[1],True,False
s719,S_2_1,aaBCD,3.09065785085,"[1, -4, 4, -4, 1]","[2, 4, 4]",[2],True,True
s745,S_2_1,aBCDCE,2.45317002238,"[1, -3, 2, -2, 2, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
s860,S_2_1,aabACDf,2.08101899662,"[1, -1, -2, -1, 1]","[1, 3, 3, 5]",[1],True,False
