manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
4_1,S_1_1,aB,2.61803398875,"[1, -3, 1]",[2],[2],True,True
6_2,S_2_1,abcD,2.15372137554,"[1, -3, 3, -3, 1]","[2, 4, 4]",[2],True,True
6_3,S_2_1,abCD,2.01535718128,"[1, -1, 0, -4, 0, -1, 1]","[2, 3, 3, 3, 3]",[2],True,False
7_6,S_2_1,abCd,3.50606805595,"[1, -3, -1, -3, 1]","[3, 3, 4]",[4],True,False
7_7,S_2_1,abCF,2.96557263399,"[1, -3, 1, -3, 1]","[3, 3, 4]",[4],False,False
8_12,S_2_1,aBcD,4.39025688452,"[1, -7, 13, -7, 1]",[6],[6],True,True
8_20,S_2_1,abCDf,1.68491015272,"[1, -1, -1, 0, 0, 0, -1, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
8_21,S_2_1,abcDF,2.61803398875,"[1, -3, 1]","[2, 4, 4]",[2],True,True
9_42,S_2_1,abcdF,1.96355303899,"[1, -2, -1, 3, -1, -2, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
9_44,S_2_1,abCDF,2.79497230347,"[1, -2, 0, -6, 0, -2, 1]","[2, 3, 3, 3, 3]",[2],True,False
9_45,S_2_1,aBcdF,4.25422831506,"[1, -6, 8, -4, 8, -6, 1]","[3, 3, 3, 3]",[3],True,False
9_48,S_2_1,aaBAcf,5.10696460773,"[1, -7, 11, -7, 1]",[6],[6],False,True
10_132,S_2_1,abaCDf,1.72208380574,"[1, -1, -1, -1, 1]","[1, 3, 4, 4]",[1],True,False
10_133,S_2_1,abcDDF,3.31651242917,"[1, -5, 7, -5, 1]","[2, 4, 4]",[2],True,True
10_136,S_2_1,aBcdf,3.2542636339,"[1, -3, 0, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
10_137,S_2_1,abCdF,3.73205080757,"[1, -4, 1]","[3, 3, 3, 3]",[3],True,False
